Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0296311365934824,-0.0359804992514762,0.220662844298532,0,0,0,1.50189939232014,0.00622450272329675,1.74947630049081E-09,-2.10701359777179E-07,0.00323294859115307,-3.7596738649884E-05,0.00344502046709939,0,0,0,0,0,0,package://warp_wraith_2/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://warp_wraith_2/meshes/base_link.STL,,base_link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_a0,0.0851554150323779,-0.000985644105346323,0.0156474010989862,0,0,0,0.0945275281675611,2.68108619050537E-05,6.16844655608466E-07,2.79426647656862E-08,2.67601703362095E-05,6.544775934823E-14,4.81696474158725E-05,0,0,0,0,0,0,package://warp_wraith_2/meshes/link_a0.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://warp_wraith_2/meshes/link_a0.STL,,!leg0-2,Origin_joint_a0,Axis_joint_a0,joint_a0,revolute,-0.104027277448243,-0.0674801592553697,0.0850434044805583,1.58073140775485,-0.897008194175245,-1.57079632679487,base_link,1,0,0,0,0,-2.7925,2.7925,,,,,,,,
link_a1,-0.0641801217502795,0.0100514965462183,0.0454735508748932,0,0,0,0.562440066950647,0.000191507810151581,-0.000103782743476049,9.09682607776654E-06,0.000928787940838491,9.64583367844016E-08,0.00107987891209593,0,0,0,0,0,0,package://warp_wraith_2/meshes/link_a1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://warp_wraith_2/meshes/link_a1.STL,,!leg1-2,Origin_joint_a1,Axis_joint_a1,joint_a1,revolute,0.0842402878027697,0,0.0207128411733796,0,0,1.46829224125804,link_a0,0,0,1,0,0,-2.7925,2.7925,,,,,,,,
link_a2,-0.0621869127524817,-0.00552705431792738,0.0205147264394417,0,0,0,0.0685863416505232,1.06834942290554E-05,-2.43901507191657E-05,-1.1569259067077E-16,0.000187721407972582,8.44839449558267E-16,0.000197984783387763,0,0,0,0,0,0,package://warp_wraith_2/meshes/link_a2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://warp_wraith_2/meshes/link_a2.STL,,!leg2-1,Origin_joint_a2,Axis_joint_a2,joint_a2,revolute,-0.149843510036304,-0.00685000000000027,0.0747954230934475,0,0,-1.47118068128164,link_a1,0,0,1,0,0,-2.7925,2.7925,,,,,,,,
link_b0,-0.0321885997256861,-0.000985644081265447,0.015647401904695,0,0,0,0.0945275302953737,2.68108670729358E-05,6.16844679723015E-07,2.7942675354054E-08,2.67601703037538E-05,3.56011319484595E-14,4.81696512998512E-05,0,0,0,0,0,0,package://warp_wraith_2/meshes/link_b0.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://warp_wraith_2/meshes/link_b0.STL,,!leg0-3,Origin_joint_b0,Axis_joint_b0,joint_b0,revolute,-0.104027277448242,0.0509098811166782,0.147749009502869,1.57197600052135,1.19738690821815,-1.57079632679489,base_link,1,0,0,0,0,-2.7925,2.7925,,,,,,,,
link_b1,-0.0641801231705247,0.0100514968993663,0.0447565752889498,0,0,0,0.562440056806847,0.000191507810639002,-0.000103782745336979,9.09682511695694E-06,0.000928787936115065,9.64586621746657E-08,0.00107987890748841,0,0,0,0,0,0,package://warp_wraith_2/meshes/link_b1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://warp_wraith_2/meshes/link_b1.STL,,!leg1-1,Origin_joint_b1,Axis_joint_b1,joint_b1,revolute,-0.0331037270274367,0,0.0214298171890495,0,0,1.58142473730066,link_b0,0,0,1,0,0,-2.7925,2.7925,,,,,,,,
link_b2,-0.0621869127553146,-0.00552705432822193,0.0204008659699784,0,0,0,0.0685863416471101,1.0683494229303E-05,-2.43901507190906E-05,-1.22646284490197E-17,0.000187721407972589,9.7503921322133E-17,0.000197984783387152,0,0,0,0,0,0,package://warp_wraith_2/meshes/link_b2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://warp_wraith_2/meshes/link_b2.STL,,!leg2-5,Origin_joint_b2,Axis_joint_b2,joint_b2,revolute,-0.149843510036304,-0.00685000000000036,0.0741923075481606,0,0,-1.55127452538575,link_b1,0,0,1,0,0,-2.7925,2.7925,,,,,,,,
link_c0,-0.0026450596828149,-0.000985643978436812,0.0156474007490965,0,0,0,0.0945275341479533,2.68108658797545E-05,6.16845170873546E-07,2.79426901820078E-08,2.67601704791357E-05,5.47535234883977E-15,4.81696515549168E-05,0,0,0,0,0,0,package://warp_wraith_2/meshes/link_c0.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://warp_wraith_2/meshes/link_c0.STL,,!leg0-1,Origin_joint_c0,Axis_joint_c0,joint_c0,revolute,-0.10402727744823,-0.0489945873239055,0.323762251736388,-1.60923250783394,-0.150189357021345,1.57079632679492,base_link,1,0,0,0,0,-2.7925,2.7925,,,,,,,,
link_c1,-0.0631717759361851,0.023574141186961,0.0661863921093232,0,0,0,0.562440062977799,0.000191507811171085,-0.000103782745725335,9.09682777984586E-06,0.000928787939846355,9.64576530445767E-08,0.00107987891160582,0,0,0,0,0,0,package://warp_wraith_2/meshes/link_c1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://warp_wraith_2/meshes/link_c1.STL,,!leg1-3,Origin_joint_c1,Axis_joint_c1,joint_c1,revolute,0.01,0,0,0,0,1.64522586966955,link_c0,0,0,1,0,0,-2.7925,2.7925,,,,,,,,
link_c2,-0.0621869127368714,-0.00552705436414952,0.0246594917039899,0,0,0,0.0685863416618641,1.06834942281433E-05,-2.43901507194157E-05,5.0401573207712E-16,0.00018772140797255,-2.57824073357419E-15,0.000197984783389714,0,0,0,0,0,0,package://warp_wraith_2/meshes/link_c2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://warp_wraith_2/meshes/link_c2.STL,,!leg2-6,Origin_joint_c2,Axis_joint_c2,joint_c2,revolute,-0.14883516311418,0.00667264431966189,0.0913634989992372,0,0,-1.55391611901459,link_c1,0,0,1,0,0,-2.7925,2.7925,,,,,,,,
